PIXEL,LABEL
141112,Pine Township
141113,Marshall Township
141113,Pine Township
141114,Marshall Township
141114,Pine Township
141115,Marshall Township
141115,Pine Township
141116,Bradford Woods Borough
141116,Marshall Township
141116,Pine Township
141117,Bradford Woods Borough
141117,Marshall Township
141117,Pine Township
141118,Marshall Township
141118,Pine Township
141119,Franklin Park Borough
141119,Marshall Township
141119,McCandless Township
141119,Pine Township
141120,Franklin Park Borough
141120,McCandless Township
141121,Franklin Park Borough
141121,McCandless Township
141122,Franklin Park Borough
141122,McCandless Township
141123,Franklin Park Borough
141123,McCandless Township
141124,Franklin Park Borough
141124,McCandless Township
141125,Franklin Park Borough
141125,McCandless Township
141126,Franklin Park Borough
141126,McCandless Township
141126,Ross Township
141127,Franklin Park Borough
141127,Ohio Township
141127,Ross Township
141128,Ohio Township
141128,Ross Township
141129,Ohio Township
141129,Ross Township
141130,Ben Avon Heights Borough
141130,Kilbuck Township
141130,Ohio Township
141130,Ross Township
141131,Avalon Borough
141131,Bellevue Borough
141131,Ben Avon Heights Borough
141131,Kilbuck Township
141131,Ross Township
141132,Avalon Borough
141132,Bellevue Borough
141132,Neville Township
141133,Avalon Borough
141133,Bellevue Borough
141133,Neville Township
141133,Stowe Township
141134,Bellevue Borough
141134,McKees Rocks Borough
141134,Stowe Township
141135,McKees Rocks Borough
141135,Stowe Township
141136,McKees Rocks Borough
141136,Pittsburgh
141137,Ingram Borough
141137,Pittsburgh
141138,Crafton Borough
141138,Ingram Borough
141138,Pittsburgh
141139,Crafton Borough
141139,Pittsburgh
141140,Crafton Borough
141140,Green Tree Borough
141140,Pittsburgh
141141,Green Tree Borough
141141,Pittsburgh
141142,Green Tree Borough
141142,Scott Township
141143,Green Tree Borough
141143,Mount Lebanon
141143,Scott Township
141144,Mount Lebanon
141144,Scott Township
141145,Mount Lebanon
141146,Mount Lebanon
141147,Mount Lebanon
141147,Upper St. Clair Municipality
141148,Bethel Park Municipality
141148,Mount Lebanon
141148,Upper St. Clair Municipality
141149,Bethel Park Municipality
141149,Upper St. Clair Municipality
141150,Bethel Park Municipality
141150,Upper St. Clair Municipality
141151,Bethel Park Municipality
141151,Upper St. Clair Municipality
141152,Bethel Park Municipality
141153,Bethel Park Municipality
141154,Bethel Park Municipality
141155,Bethel Park Municipality
141156,
142111,
142112,Pine Township
142113,Pine Township
142114,Pine Township
142115,Pine Township
142116,Pine Township
142117,Pine Township
142118,Pine Township
142119,McCandless Township
142119,Pine Township
142120,McCandless Township
142121,McCandless Township
142122,McCandless Township
142123,McCandless Township
142124,McCandless Township
142125,McCandless Township
142126,McCandless Township
142126,Ross Township
142127,Ross Township
142128,Ross Township
142129,Ross Township
142129,West View Borough
142130,Ross Township
142130,West View Borough
142131,Bellevue Borough
142131,Ross Township
142132,Bellevue Borough
142132,Ross Township
142133,Bellevue Borough
142133,Pittsburgh
142133,Ross Township
142134,Bellevue Borough
142134,McKees Rocks Borough
142134,Pittsburgh
142134,Stowe Township
142135,McKees Rocks Borough
142135,Pittsburgh
142136,McKees Rocks Borough
142136,Pittsburgh
142137,Pittsburgh
142138,Pittsburgh
142139,Pittsburgh
142140,Green Tree Borough
142140,Pittsburgh
142141,Green Tree Borough
142141,Pittsburgh
142142,Green Tree Borough
142142,Pittsburgh
142143,Dormont Borough
142143,Green Tree Borough
142143,Mount Lebanon
142143,Pittsburgh
142143,Scott Township
142144,Dormont Borough
142144,Mount Lebanon
142145,Mount Lebanon
142146,Mount Lebanon
142147,Mount Lebanon
142148,Bethel Park Municipality
142148,Mount Lebanon
142148,Upper St. Clair Municipality
142149,Bethel Park Municipality
142150,Bethel Park Municipality
142151,Bethel Park Municipality
142152,Bethel Park Municipality
142153,Bethel Park Municipality
142154,Bethel Park Municipality
142155,Bethel Park Municipality
142156,
143111,
143112,Pine Township
143113,Pine Township
143114,Pine Township
143115,Pine Township
143116,Pine Township
143117,Pine Township
143118,Pine Township
143119,McCandless Township
143119,Pine Township
143120,McCandless Township
143121,McCandless Township
143122,McCandless Township
143123,McCandless Township
143124,McCandless Township
143125,McCandless Township
143126,McCandless Township
143126,Ross Township
143127,Ross Township
143128,Ross Township
143129,Ross Township
143129,West View Borough
143130,Ross Township
143130,West View Borough
143131,Ross Township
143132,Ross Township
143133,Bellevue Borough
143133,Pittsburgh
143133,Ross Township
143134,Pittsburgh
143135,Pittsburgh
143136,Pittsburgh
143137,Pittsburgh
143138,Pittsburgh
143139,Pittsburgh
143140,Green Tree Borough
143140,Pittsburgh
143141,Green Tree Borough
143141,Pittsburgh
143142,Dormont Borough
143142,Pittsburgh
143143,Dormont Borough
143143,Pittsburgh
143144,Dormont Borough
143144,Mount Lebanon
143144,Pittsburgh
143145,Dormont Borough
143145,Mount Lebanon
143146,Castle Shannon Borough
143146,Mount Lebanon
